Crop Name,N_min,N_max,P_min,P_max,K_min,K_max,Temp_min,Temp_max,Humidity_min,Humidity_max,pH_min,pH_max,Rain_min,Rain_max,Light,Soil,Pests,Care
Rice,60,100,30,60,30,50,20,30,70,90,5.5,7,150,300,"Ánh sáng mặt trời trực tiếp (ít nhất 6-8 giờ/ngày).","Đất sét hoặc đất thịt pha sét giữ nước tốt.","Sâu cuốn lá, rầy nâu, bệnh đạo ôn.","Giữ mực nước ổn định, bón phân đúng giai đoạn sinh trưởng."
Maize,60,120,30,60,15,25,18,35,50,80,5.5,7.5,60,110,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, thoát nước tốt, giàu hữu cơ.","Sâu đục thân, sâu keo mùa thu, bệnh rỉ sắt.","Tưới nước đều đặn, đặc biệt là giai đoạn trổ cờ và làm hạt."
Chickpea,20,60,40,80,60,100,15,25,15,20,6,8.5,60,100,"Ánh sáng mặt trời đầy đủ.","Đất thịt nhẹ, thoát nước cực tốt.","Sâu đục quả, bệnh héo rũ.","Tránh tưới quá nhiều nước gây úng rễ, bón lót lân đầy đủ."
Kidneybeans,10,40,40,70,15,25,15,25,18,25,5.5,6,60,150,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, pH hơi acid.","Rệp muội, sâu đục quả, bệnh lở cổ rễ.","Cần giàn leo nếu là giống leo, tưới nước vào gốc tránh làm ướt lá."
Pigeonpeas,0,40,40,80,15,25,18,35,30,70,4.5,7.5,90,200,"Ánh sáng mặt trời đầy đủ.","Chịu được nhiều loại đất, kể cả đất nghèo dinh dưỡng.","Sâu đục quả, rầy mềm.","Cây chịu hạn tốt, không cần tưới quá nhiều sau khi đã bén rễ."
Mothbeans,0,40,40,70,15,25,24,30,40,65,3.5,10,30,75,"Ánh sáng mặt trời đầy đủ.","Đất cát, chịu được đất mặn và kiềm.","Sâu ăn lá, bệnh khảm vàng.","Cực kỳ chịu hạn, phù hợp cho vùng khô hạn."
Mungbean,0,40,35,60,15,25,27,30,80,90,6,7.5,35,60,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, thoát nước tốt.","Sâu đục quả, bọ trĩ.","Thời gian sinh trưởng ngắn, cần làm cỏ thường xuyên giai đoạn đầu."
Blackgram,20,60,60,80,15,25,25,35,60,70,6.5,7.5,60,75,"Ánh sáng mặt trời đầy đủ.","Đất thịt nặng, giữ ẩm tốt.","Sâu khoang, bệnh phấn trắng.","Cần độ ẩm ổn định giai đoạn ra hoa."
Lentil,0,40,35,60,15,25,18,30,60,70,5.5,7.5,35,55,"Ánh sáng mặt trời đầy đủ.","Đất thịt pha cát, thoát nước tốt.","Sâu đục quả, bệnh héo rũ.","Phù hợp khí hậu mát mẻ, tránh úng nước."
Pomegranate,0,40,5,30,35,45,18,25,85,95,5.5,7.5,100,115,"Ánh sáng mặt trời trực tiếp.","Đất thịt sâu, thoát nước tốt.","Sâu đục quả, rệp sáp.","Cắt tỉa cành định kỳ, bón phân hữu cơ."
